City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Bangalore,2008-04-18,2008,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,,Asad Rauf,RE Koertzen,"['Rahul Dravid', 'Wasim Jaffer', 'Virat Kohli', 'Jacques Kallis', 'Cameron White', 'Mark Boucher', 'Balachandra Akhil', 'Ashley Noffke', 'Praveen Kumar', 'Zaheer Khan', 'Sunil Joshi']","['Sourav Ganguly', 'Brendon Mccullum', 'Ricky Ponting', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Ajit Agarkar', 'Ashok Dinda', 'Murali Kartik', 'Ishant Sharma']",2.0203271511942504,1.9891281847950173
Chandigarh,2008-04-19,2008,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,,MR Benson,SL Shastri,"['Karan Goel', 'James Hopes', 'Kumar Sangakkara', 'Yuvraj Singh', 'Simon Katich', 'Irfan Pathan', 'Pankaj Dharmani', 'Brett Lee', 'Piyush Chawla', 'Wilkin Mota', 'Shanthakumaran Sreesanth']","['Parthiv Patel', 'Matthew Hayden', 'Michael Hussey', 'Ms Dhoni', 'Suresh Raina', 'Jacob Oram', 'Subramaniam Badrinath', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan']",2.101982776445669,3.158087081714461
Delhi,2008-04-19,2008,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,,Aleem Dar,GA Pratapkumar,"['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Manoj Tiwary', 'Dinesh Karthik', 'Rajat Bhatia', 'Mithun Manhas', 'Daniel Vettori', 'Mf Maharoof', 'Brett Geeves', 'Glenn Mcgrath']","['Taruwar Kohli', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Darren Lehmann', 'Ravindra Jadeja', 'Mahesh Rawat', 'Dinesh Salunkhe', 'Shane Warne', 'Siddharth Trivedi', 'Munaf Patel']",2.694209321564033,2.0227089517489554
Kolkata,2008-04-20,2008,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,,BF Bowden,K Hariharan,"['Wriddhiman Saha', 'Brendon Mccullum', 'Ricky Ponting', 'Sourav Ganguly', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Ajit Agarkar', 'Ashok Dinda', 'Murali Kartik', 'Ishant Sharma']","['Adam Gilchrist', 'Venugopal Rao', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Scott Styris', 'Sanjay Bangar', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha', 'Arjun Yadav']",1.9891281847950173,2.3518250416304496
Mumbai,2008-04-20,2008,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,,SJ Davis,DJ Harper,"['Luke Ronchi', 'Sanath Jayasuriya', 'Dominic Thornely', 'Robin Uthappa', 'Pinal Shah', 'Abhishek Nayar', 'Shaun Pollock', 'Harbhajan Singh', 'Musavir Khote', 'Ashish Nehra', 'Dhawal Kulkarni']","['Shivnarine Chanderpaul', 'Rahul Dravid', 'Ross Taylor', 'Jacques Kallis', 'Virat Kohli', 'Mark Boucher', 'Balachandra Akhil', 'Praveen Kumar', 'Zaheer Khan', 'Sunil Joshi', 'Vinay Kumar']",1.7755430931308056,1.9926277397690217
Jaipur,2008-04-21,2008,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,,Aleem Dar,RB Tiffin,"['Mohammad Kaif', 'Kamran Akmal', 'Yusuf Pathan', 'Shane Watson', 'Darren Lehmann', 'Ravindra Jadeja', 'Pankaj Singh', 'Dinesh Salunkhe', 'Shane Warne', 'Siddharth Trivedi', 'Munaf Patel']","['Karan Goel', 'James Hopes', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Yuvraj Singh', 'Irfan Pathan', 'Sunny Sohal', 'Brett Lee', 'Piyush Chawla', 'Wilkin Mota', 'Shanthakumaran Sreesanth']",2.119585783116599,1.9480790225959896
Hyderabad,2008-04-22,2008,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,,IL Howell,AM Saheba,"['Adam Gilchrist', 'Venugopal Rao', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Shahid Afridi', 'Sanjay Bangar', 'Arjun Yadav', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha']","['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Shoaib Malik', 'Dinesh Karthik', 'Manoj Tiwary', 'Rajat Bhatia', 'Mf Maharoof', 'Mohammad Asif', 'Glenn Mcgrath', 'Yo Mahesh']",2.376679312325729,2.637100339176408
Chennai,2008-04-23,2008,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,,DJ Harper,GA Pratapkumar,"['Parthiv Patel', 'Matthew Hayden', 'Michael Hussey', 'Suresh Raina', 'Ms Dhoni', 'Jacob Oram', 'Subramaniam Badrinath', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan']","['Luke Ronchi', 'Sanath Jayasuriya', 'Robin Uthappa', 'Shaun Pollock', 'Dwayne Bravo', 'Abhishek Nayar', 'Musavir Khote', 'Harbhajan Singh', 'Ashish Nehra', 'Vikrant Yeligati', 'Dhawal Kulkarni']",3.158087081714461,1.9028016657331128
Hyderabad,2008-04-24,2008,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,,Asad Rauf,MR Benson,"['Adam Gilchrist', 'Vvs Laxman', 'Shahid Afridi', 'Andrew Symonds', 'Rohit Sharma', 'Arjun Yadav', 'Sanjay Bangar', 'Chaminda Vaas', 'Rp Singh', 'Pragyan Ojha', 'Doddapaneni Kalyankrishna']","['Kamran Akmal', 'Graeme Smith', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Ravindra Jadeja', 'Shane Warne', 'Dinesh Salunkhe', 'Pankaj Singh', 'Siddharth Trivedi', 'Munaf Patel']",2.1901747087471786,2.5826254648686744
Chandigarh,2008-04-25,2008,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,,Aleem Dar,AM Saheba,"['Karan Goel', 'Irfan Pathan', 'Kumar Sangakkara', 'Yuvraj Singh', 'Ramnaresh Sarwan', 'Mahela Jayawardene', 'Sunny Sohal', 'Brett Lee', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh']","['Luke Ronchi', 'Sanath Jayasuriya', 'Robin Uthappa', 'Dwayne Bravo', 'Saurabh Tiwary', 'Shaun Pollock', 'Abhishek Nayar', 'Harbhajan Singh', 'Musavir Khote', 'Dhawal Kulkarni', 'Ashish Nehra']",1.7836882939315835,1.9410508296691689
Chennai,2008-04-26,2008,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,,BF Bowden,AV Jayaprakash,"['Parthiv Patel', 'Matthew Hayden', 'Ms Dhoni', 'Michael Hussey', 'Subramaniam Badrinath', 'Suresh Raina', 'Jacob Oram', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan']","['Sourav Ganguly', 'Brendon Mccullum', 'Ricky Ponting', 'Wriddhiman Saha', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Ajit Agarkar', 'Murali Kartik', 'Ishant Sharma', 'Ashok Dinda']",3.158087081714461,1.9891281847950173
Bangalore,2008-04-26,2008,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,,MR Benson,IL Howell,"['Shivnarine Chanderpaul', 'Rahul Dravid', 'Ross Taylor', 'Jacques Kallis', 'Virat Kohli', 'Mark Boucher', 'Praveen Kumar', 'Sunil Joshi', 'Zaheer Khan', 'Vinay Kumar', 'Anil Kumble']","['Graeme Smith', 'Mahesh Rawat', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Ravindra Jadeja', 'Dinesh Salunkhe', 'Shane Warne', 'Sohail Tanvir', 'Siddharth Trivedi', 'Munaf Patel']",2.065980800666172,2.6574102226365715
Mumbai,2008-04-27,2008,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,,Asad Rauf,SL Shastri,"['Luke Ronchi', 'Sanath Jayasuriya', 'Ajinkya Rahane', 'Robin Uthappa', 'Shaun Pollock', 'Abhishek Nayar', 'Dwayne Bravo', 'Musavir Khote', 'Ashish Nehra', 'Dhawal Kulkarni', 'Siddharth Chitnis']","['Adam Gilchrist', 'Vvs Laxman', 'Andrew Symonds', 'Rohit Sharma', 'Shahid Afridi', 'Sanjay Bangar', 'Arjun Yadav', 'Rp Singh', 'Pragyan Ojha', 'Doddapaneni Kalyankrishna', 'Nuwan Zoysa']",1.8772205318855926,2.1932262185754503
Chandigarh,2008-04-27,2008,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,,RE Koertzen,I Shivram,"['Karan Goel', 'Simon Katich', 'Kumar Sangakkara', 'Mahela Jayawardene', 'Yuvraj Singh', 'Tanmay Srivastava', 'Irfan Pathan', 'Brett Lee', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh']","['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Shoaib Malik', 'Manoj Tiwary', 'Dinesh Karthik', 'Rajat Bhatia', 'Mf Maharoof', 'Yo Mahesh', 'Mohammad Asif', 'Glenn Mcgrath']",1.8565877126279977,2.637100339176408
Bangalore,2008-04-28,2008,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,,BR Doctrove,RB Tiffin,"['Bharat Chipli', 'Wasim Jaffer', 'Ross Taylor', 'Jacques Kallis', 'Mark Boucher', 'Virat Kohli', 'Rahul Dravid', 'Praveen Kumar', 'Zaheer Khan', 'Balachandra Akhil', 'Dale Steyn']","['Parthiv Patel', 'Matthew Hayden', 'Michael Hussey', 'Suresh Raina', 'Ms Dhoni', 'Jacob Oram', 'Subramaniam Badrinath', 'Albie Morkel', 'Joginder Sharma', 'Palani Amarnath', 'Manpreet Gony']",2.2375172366388623,2.8044480962560567
Kolkata,2008-04-29,2008,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,,BF Bowden,AV Jayaprakash,"['Brendon Mccullum', 'Sourav Ganguly', 'Ricky Ponting', 'Debabrata Das', 'David Hussey', 'Mohammad Hafeez', 'Laxmi Ratan Shukla', 'Ajit Agarkar', 'Murali Kartik', 'Ishant Sharma', 'Ashok Dinda']","['Ajinkya Rahane', 'Sanath Jayasuriya', 'Manish Pandey', 'Robin Uthappa', 'Dwayne Bravo', 'Shaun Pollock', 'Abhishek Nayar', 'Ashish Nehra', 'Dhawal Kulkarni', 'Dilhara Fernando', 'Pinal Shah']",1.9248619628014272,1.8260396302694764
Delhi,2008-04-30,2008,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,,Aleem Dar,I Shivram,"['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Shoaib Malik', 'Dinesh Karthik', 'Manoj Tiwary', 'Rajat Bhatia', 'Daniel Vettori', 'Mohammad Asif', 'Yo Mahesh', 'Glenn Mcgrath']","['Praveen Kumar', 'Wasim Jaffer', 'Ross Taylor', 'Jacques Kallis', 'Rahul Dravid', 'Mark Boucher', 'Virat Kohli', 'Zaheer Khan', 'Dale Steyn', 'Vinay Kumar', 'Sunil Joshi']",2.5054955112863935,2.2097820573726428
Hyderabad,2008-05-01,2008,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,,BR Doctrove,RB Tiffin,"['Adam Gilchrist', 'Vvs Laxman', 'Herschelle Gibbs', 'Rohit Sharma', 'Shahid Afridi', 'Venugopal Rao', 'Sanjay Bangar', 'Nuwan Zoysa', 'Doddapaneni Kalyankrishna', 'Rp Singh', 'Pragyan Ojha']","['Shaun Marsh', 'Ramnaresh Sarwan', 'Kumar Sangakkara', 'Yuvraj Singh', 'Mahela Jayawardene', 'Karan Goel', 'Irfan Pathan', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh', 'Gajendra Singh']",2.2958368498595094,2.471742059015213
Jaipur,2008-05-01,2008,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,,RE Koertzen,GA Pratapkumar,"['Graeme Smith', 'Swapnil Asnodkar', 'Mohammad Kaif', 'Yusuf Pathan', 'Shane Watson', 'Ravindra Jadeja', 'Shane Warne', 'Sohail Tanvir', 'Mahesh Rawat', 'Siddharth Trivedi', 'Munaf Patel']","['Salman Butt', 'Sourav Ganguly', 'Ajit Agarkar', 'Brad Hodge', 'David Hussey', 'Laxmi Ratan Shukla', 'Debabrata Das', 'Wriddhiman Saha', 'Umar Gul', 'Ishant Sharma', 'Ashok Dinda']",2.9450245899619176,2.0744266334444568
Chennai,2008-05-02,2008,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,,BF Bowden,K Hariharan,"['Parthiv Patel', 'Stephen Fleming', 'Vidyut Sivaramakrishnan', 'Ms Dhoni', 'Albie Morkel', 'Suresh Raina', 'Subramaniam Badrinath', 'Joginder Sharma', 'Makhaya Ntini', 'Manpreet Gony', 'Muttiah Muralitharan']","['Gautam Gambhir', 'Virender Sehwag', 'Ab De Villiers', 'Shikhar Dhawan', 'Shoaib Malik', 'Dinesh Karthik', 'Rajat Bhatia', 'Yo Mahesh', 'Glenn Mcgrath', 'Pradeep Sangwan', 'Mohammad Asif']",3.393129544579752,2.466545514511971
Chandigarh,2008-05-03,2008,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,,DJ Harper,I Shivram,"['Shaun Marsh', 'James Hopes', 'Kumar Sangakkara', 'Yuvraj Singh', 'Mahela Jayawardene', 'Karan Goel', 'Irfan Pathan', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh', 'Gajendra Singh']","['Mohammad Hafeez', 'Sourav Ganguly', 'Debabrata Das', 'Brad Hodge', 'David Hussey', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Ajit Agarkar', 'Umar Gul', 'Ishant Sharma', 'Ashok Dinda']",2.6242613093892646,1.878950959843942
Bangalore,2008-05-03,2008,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore,,BR Doctrove,SL Shastri,"['Bharat Chipli', 'Wasim Jaffer', 'Virat Kohli', 'Jacques Kallis', 'Misbah-Ul-Haq', 'Rahul Dravid', 'Mark Boucher', 'Praveen Kumar', 'Zaheer Khan', 'Dale Steyn', 'Anil Kumble']","['Adam Gilchrist', 'Vvs Laxman', 'Herschelle Gibbs', 'Rohit Sharma', 'Shahid Afridi', 'Scott Styris', 'Arjun Yadav', 'Sanjay Bangar', 'Rp Singh', 'Paidikalva Vijaykumar', 'Pragyan Ojha']",2.273437828818248,2.402752884727708
Mumbai,2008-05-04,2008,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,,IL Howell,RE Koertzen,"['Yogesh Takawale Duplicate', 'Sanath Jayasuriya', 'Dominic Thornely', 'Robin Uthappa', 'Dwayne Bravo', 'Abhishek Nayar', 'Shaun Pollock', 'Saurabh Tiwary', 'Rohan Raje', 'Ashish Nehra', 'Dhawal Kulkarni']","['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Ab De Villiers', 'Shoaib Malik', 'Dinesh Karthik', 'Rajat Bhatia', 'Pradeep Sangwan', 'Yo Mahesh', 'Mohammad Asif', 'Glenn Mcgrath']",1.9138963023797817,2.466545514511971
Jaipur,2008-05-04,2008,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,,Asad Rauf,AV Jayaprakash,"['Graeme Smith', 'Swapnil Asnodkar', 'Yusuf Pathan', 'Shane Watson', 'Mahesh Rawat', 'Mohammad Kaif', 'Ravindra Jadeja', 'Shane Warne', 'Sohail Tanvir', 'Siddharth Trivedi', 'Munaf Patel']","['Parthiv Patel', 'Stephen Fleming', 'Vidyut Sivaramakrishnan', 'Suresh Raina', 'Subramaniam Badrinath', 'Ms Dhoni', 'Albie Morkel', 'Joginder Sharma', 'Manpreet Gony', 'Muttiah Muralitharan', 'Makhaya Ntini']",2.9450245899619176,3.3931295445797516
Bangalore,2008-05-05,2008,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,,SJ Davis,BR Doctrove,"['Wasim Jaffer', 'Virat Kohli', 'Cameron White', 'Jacques Kallis', 'Rahul Dravid', 'Misbah-Ul-Haq', 'Praveen Kumar', 'Devraj Patil', 'Zaheer Khan', 'Anil Kumble', 'Dale Steyn']","['Shaun Marsh', 'James Hopes', 'Ramnaresh Sarwan', 'Yuvraj Singh', 'Mahela Jayawardene', 'Irfan Pathan', 'Piyush Chawla', 'Uday Kaul', 'Gajendra Singh', 'Shanthakumaran Sreesanth', 'Vikram Singh']",2.1481357999337813,2.353357143797217
Chennai,2008-05-06,2008,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,,MR Benson,RB Tiffin,"['Parthiv Patel', 'Stephen Fleming', 'Srikkanth Anirudha', 'Suresh Raina', 'Subramaniam Badrinath', 'Ms Dhoni', 'Albie Morkel', 'Joginder Sharma', 'Manpreet Gony', 'Makhaya Ntini', 'Muttiah Muralitharan']","['Adam Gilchrist', 'Herschelle Gibbs', 'Scott Styris', 'Rohit Sharma', 'Shahid Afridi', 'Venugopal Rao', 'Sanjay Bangar', 'Rp Singh', 'Paidikalva Vijaykumar', 'Pragyan Ojha', 'Arjun Yadav']",3.2039663395593037,2.3941981921038966
Mumbai,2008-05-07,2008,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,,DJ Harper,RE Koertzen,"['Yogesh Takawale Duplicate', 'Sanath Jayasuriya', 'Robin Uthappa', 'Dwayne Bravo', 'Abhishek Nayar', 'Dominic Thornely', 'Shaun Pollock', 'Saurabh Tiwary', 'Rohan Raje', 'Ashish Nehra', 'Dhawal Kulkarni']","['Graeme Smith', 'Swapnil Asnodkar', 'Yusuf Pathan', 'Shane Watson', 'Mohammad Kaif', 'Ravindra Jadeja', 'Shane Warne', 'Sohail Tanvir', 'Mahesh Rawat', 'Siddharth Trivedi', 'Munaf Patel']",1.9138963023797817,2.9450245899619176
Delhi,2008-05-08,2008,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,,Aleem Dar,RB Tiffin,"['Gautam Gambhir', 'Virender Sehwag', 'Ab De Villiers', 'Shikhar Dhawan', 'Shoaib Malik', 'Dinesh Karthik', 'Manoj Tiwary', 'Yo Mahesh', 'Glenn Mcgrath', 'Mohammad Asif', 'Pradeep Sangwan']","['Vidyut Sivaramakrishnan', 'Stephen Fleming', 'Ms Dhoni', 'Suresh Raina', 'Albie Morkel', 'Chamara Kapugedera', 'Subramaniam Badrinath', 'Manpreet Gony', 'Palani Amarnath', 'Muttiah Muralitharan', 'Lakshmipathy Balaji']",2.551876550763652,2.8994371612727527
Kolkata,2008-05-08,2008,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,,Asad Rauf,IL Howell,"['Aakash Chopra', 'Brad Hodge', 'Sourav Ganguly', 'David Hussey', 'Tatenda Taibu', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Murali Kartik', 'Umar Gul', 'Ishant Sharma', 'Ashok Dinda']","['Jagadeesh Arunkumar', 'Shivnarine Chanderpaul', 'Mark Boucher', 'Rahul Dravid', 'Cameron White', 'Praveen Kumar', 'Vinay Kumar', 'Virat Kohli', 'Zaheer Khan', 'Anil Kumble', 'Dale Steyn']",1.7366406212529417,2.068484864859884
Jaipur,2008-05-09,2008,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,,MR Benson,AM Saheba,"['Graeme Smith', 'Yusuf Pathan', 'Mohammad Kaif', 'Shane Watson', 'Niraj Patel', 'Ravindra Jadeja', 'Shane Warne', 'Mahesh Rawat', 'Sohail Tanvir', 'Siddharth Trivedi', 'Munaf Patel']","['Adam Gilchrist', 'Herschelle Gibbs', 'Scott Styris', 'Rohit Sharma', 'Shahid Afridi', 'Sanjay Bangar', 'Dwaraka Ravi Teja', 'Venugopal Rao', 'Rp Singh', 'Pragyan Ojha', 'Paidikalva Vijaykumar']",2.7412603885937643,2.4570579609496663
Chennai,2008-05-10,2008,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings,,AV Jayaprakash,BG Jerling,"['Vidyut Sivaramakrishnan', 'Stephen Fleming', 'Suresh Raina', 'Subramaniam Badrinath', 'Ms Dhoni', 'Albie Morkel', 'Chamara Kapugedera', 'Palani Amarnath', 'Manpreet Gony', 'Muttiah Muralitharan', 'Lakshmipathy Balaji']","['Shaun Marsh', 'James Hopes', 'Karan Goel', 'Ramnaresh Sarwan', 'Yuvraj Singh', 'Mahela Jayawardene', 'Irfan Pathan', 'Piyush Chawla', 'Shanthakumaran Sreesanth', 'Vikram Singh', 'Uday Kaul']",2.8994371612727527,2.376887759730131
Jaipur,2008-05-11,2008,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,,SJ Davis,RE Koertzen,"['Yusuf Pathan', 'Graeme Smith', 'Mohammad Kaif', 'Shane Watson', 'Ravindra Jadeja', 'Dimitri Mascarenhas', 'Shane Warne', 'Niraj Patel', 'Mahesh Rawat', 'Siddharth Trivedi', 'Munaf Patel']","['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Ab De Villiers', 'Dinesh Karthik', 'Tillakaratne Dilshan', 'Amit Mishra', 'Mf Maharoof', 'Yo Mahesh', 'Glenn Mcgrath', 'Pradeep Sangwan']",2.5795695310584685,2.701930444160472
Hyderabad,2008-05-11,2008,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,,IL Howell,AM Saheba,"['Adam Gilchrist', 'Herschelle Gibbs', 'Dwaraka Ravi Teja', 'Rohit Sharma', 'Scott Styris', 'Venugopal Rao', 'Sanjay Bangar', 'Chaminda Vaas', 'Rp Singh', 'Paidikalva Vijaykumar', 'Pragyan Ojha']","['Salman Butt', 'Aakash Chopra', 'Sourav Ganguly', 'David Hussey', 'Tatenda Taibu', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Umar Gul', 'Ishant Sharma', 'Ashok Dinda', 'Murali Kartik']",2.3330033255019997,1.9496573535066553
Chandigarh,2008-05-12,2008,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,,BR Doctrove,I Shivram,"['Shaun Marsh', 'James Hopes', 'Luke Pomersbach', 'Yuvraj Singh', 'Mahela Jayawardene', 'Irfan Pathan', 'Tanmay Srivastava', 'Piyush Chawla', 'Uday Kaul', 'Shanthakumaran Sreesanth', 'Vikram Singh']","['Jagadeesh Arunkumar', 'Virat Kohli', 'Misbah-Ul-Haq', 'Cameron White', 'Rahul Dravid', 'Mark Boucher', 'Praveen Kumar', 'Vinay Kumar', 'Zaheer Khan', 'Anil Kumble', 'Dale Steyn']",2.42956790306149,2.1754445013658716
Kolkata,2008-05-13,2008,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,,Asad Rauf,IL Howell,"['Salman Butt', 'Aakash Chopra', 'Sourav Ganguly', 'David Hussey', 'Tatenda Taibu', 'Laxmi Ratan Shukla', 'Wriddhiman Saha', 'Iqbal Abdulla', 'Ishant Sharma', 'Ashok Dinda', 'Shoaib Akhtar']","['Gautam Gambhir', 'Virender Sehwag', 'Ab De Villiers', 'Manoj Tiwary', 'Shikhar Dhawan', 'Tillakaratne Dilshan', 'Amit Mishra', 'Mf Maharoof', 'Yo Mahesh', 'Pradeep Sangwan', 'Glenn Mcgrath']",1.8319931428418796,2.6632489832907384
Mumbai,2008-05-14,2008,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,BR Doctrove,AM Saheba,"['Sanath Jayasuriya', 'Sachin Tendulkar', 'Robin Uthappa', 'Dominic Thornely', 'Dwayne Bravo', 'Abhishek Nayar', 'Shaun Pollock', 'Yogesh Takawale Duplicate', 'Rohan Raje', 'Ashish Nehra', 'Dhawal Kulkarni']","['Vidyut Sivaramakrishnan', 'Stephen Fleming', 'Suresh Raina', 'Subramaniam Badrinath', 'Chamara Kapugedera', 'Ms Dhoni', 'Albie Morkel', 'Joginder Sharma', 'Manpreet Gony', 'Lakshmipathy Balaji', 'Muttiah Muralitharan']",2.0978970561092027,2.8634162703932224
Delhi,2008-05-15,2008,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils,,BG Jerling,GA Pratapkumar,"['Gautam Gambhir', 'Virender Sehwag', 'Shikhar Dhawan', 'Mf Maharoof', 'Tillakaratne Dilshan', 'Manoj Tiwary', 'Dinesh Karthik', 'Amit Mishra', 'Rajat Bhatia', 'Glenn Mcgrath', 'Mohammad Asif']","['Adam Gilchrist', 'Shahid Afridi', 'Herschelle Gibbs', 'Rohit Sharma', 'Scott Styris', 'Venugopal Rao', 'Dwaraka Ravi Teja', 'Rp Singh', 'Pragyan Ojha', 'Paidikalva Vijaykumar', 'Pm Sarvesh Kumar']",2.7285136096615172,2.3835477647223873
Mumbai,2008-05-16,2008,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,BR Doctrove,DJ Harper,"['Sanath Jayasuriya', 'Sachin Tendulkar', 'Robin Uthappa', 'Dominic Thornely', 'Dwayne Bravo', 'Abhishek Nayar', 'Shaun Pollock', 'Rajesh Pawar', 'Yogesh Takawale Duplicate', 'Rohan Raje', 'Ashish Nehra']","['Salman Butt', 'Aakash Chopra', 'Sourav Ganguly', 'David Hussey', 'Mohammad Hafeez', 'Wriddhiman Saha', 'Laxmi Ratan Shukla', 'Ajit Agarkar', 'Shoaib Akhtar', 'Ishant Sharma', 'Ashok Dinda']",2.1740894129086876,1.9570476176057778
