City,Date,Season,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,method,Umpire1,Umpire2,players_team1,players_team2,Total_Team1_Performance_score,Total_Team2_Performance_score
Mumbai,2019-04-10,2019,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,S Ravi,YC Barde,"['Kl Rahul', 'Chris Gayle', 'Karun Nair', 'Sarfaraz Khan', 'David Miller', 'Mandeep Singh', 'Sam Curran', 'Ravichandran Ashwin', 'Hardus Viljoen', 'Ankit Rajpoot', 'Mohammad Shami']","['Quinton De Kock', 'Siddhesh Lad', 'Suryakumar Yadav', 'Ishan Kishan', 'Krunal Pandya', 'Hardik Pandya', 'Kieron Pollard', 'Jason Behrendorff', 'Rahul Chahar', 'Alzarri Joseph', 'Jasprit Bumrah']",2.439858807823373,2.5198223238561335
Jaipur,2019-04-11,2019,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,field,Chennai Super Kings,,BNJ Oxenford,UV Gandhe,"['Ajinkya Rahane', 'Jos Buttler', 'Steve Smith', 'Sanju Samson', 'Rahul Tripathi', 'Ben Stokes', 'Riyan Parag', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Dhawal Kulkarni']","['Shane Watson', 'Faf Du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'Ms Dhoni', 'Kedar Jadhav', 'Ravindra Jadeja', 'Mitchell Santner', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']",2.850533693499094,2.9026165964566295
Kolkata,2019-04-12,2019,Kolkata Knight Riders,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Delhi Capitals,,CK Nandan,YC Barde,"['Joe Denly', 'Robin Uthappa', 'Shubman Gill', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Carlos Brathwaite', 'Kuldeep Yadav', 'Piyush Chawla', 'Lockie Ferguson', 'Prasidh Krishna']","['Prithvi Shaw', 'Shikhar Dhawan', 'Shreyas Iyer', 'Rishabh Pant', 'Colin Ingram', 'Chris Morris', 'Axar Patel', 'Keemo Paul', 'Rahul Tewatia', 'Kagiso Rabada', 'Ishant Sharma']",2.1494105445709724,2.9240031497053547
Mumbai,2019-04-13,2019,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,field,Rajasthan Royals,,A Nand Kishore,Nitin Menon,"['Quinton De Kock', 'Rohit Sharma', 'Suryakumar Yadav', 'Ishan Kishan', 'Krunal Pandya', 'Hardik Pandya', 'Kieron Pollard', 'Jason Behrendorff', 'Rahul Chahar', 'Alzarri Joseph', 'Jasprit Bumrah']","['Ajinkya Rahane', 'Jos Buttler', 'Steve Smith', 'Sanju Samson', 'Rahul Tripathi', 'Liam Livingstone', 'Krishnappa Gowtham', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Dhawal Kulkarni']",2.8899873764326647,2.813356414686086
Chandigarh,2019-04-13,2019,Kings XI Punjab,Royal Challengers Bangalore,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,,S Ravi,UV Gandhe,"['Kl Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Sarfaraz Khan', 'Nicholas Pooran', 'Mandeep Singh', 'Sam Curran', 'Andrew Tye', 'Ravichandran Ashwin', 'Mohammad Shami', 'Murugan Ashwin']","['Parthiv Patel', 'Virat Kohli', 'Ab De Villiers', 'Marcus Stoinis', 'Moeen Ali', 'Akshdeep Nath', 'Pawan Negi', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal', 'Navdeep Saini']",2.4414780203933564,2.357429526754827
Hyderabad,2019-04-14,2019,Delhi Capitals,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,Delhi Capitals,,AK Chaudhary,BNJ Oxenford,"['Prithvi Shaw', 'Shikhar Dhawan', 'Shreyas Iyer', 'Rishabh Pant', 'Colin Munro', 'Chris Morris', 'Axar Patel', 'Keemo Paul', 'Amit Mishra', 'Kagiso Rabada', 'Ishant Sharma']","['Kane Williamson', 'David Warner', 'Jonny Bairstow', 'Vijay Shankar', 'Ricky Bhui', 'Deepak Hooda', 'Abhishek Sharma', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Khaleel Ahmed', 'Sandeep Sharma']",2.9501325912303855,2.927178582359386
Kolkata,2019-04-14,2019,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,,CK Nandan,RJ Tucker,"['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Shubman Gill', 'Andre Russell', 'Piyush Chawla', 'Kuldeep Yadav', 'Harry Gurney', 'Prasidh Krishna']","['Shane Watson', 'Faf Du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'Ms Dhoni', 'Kedar Jadhav', 'Ravindra Jadeja', 'Mitchell Santner', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']",2.6655796516447654,2.9026165964566295
Mumbai,2019-04-15,2019,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,,M Erasmus,Nitin Menon,"['Parthiv Patel', 'Virat Kohli', 'Ab De Villiers', 'Marcus Stoinis', 'Moeen Ali', 'Akshdeep Nath', 'Pawan Negi', 'Umesh Yadav', 'Navdeep Saini', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Quinton De Kock', 'Rohit Sharma', 'Suryakumar Yadav', 'Ishan Kishan', 'Krunal Pandya', 'Hardik Pandya', 'Kieron Pollard', 'Jason Behrendorff', 'Rahul Chahar', 'Lasith Malinga', 'Jasprit Bumrah']",2.357429526754827,3.0710384848731276
Chandigarh,2019-04-16,2019,Kings XI Punjab,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,Rajasthan Royals,field,Kings XI Punjab,,AK Chaudhary,VA Kulkarni,"['Kl Rahul', 'Chris Gayle', 'Mayank Agarwal', 'David Miller', 'Nicholas Pooran', 'Mandeep Singh', 'Ravichandran Ashwin', 'Murugan Ashwin', 'Mohammad Shami', 'Mujeeb Ur Rahman', 'Arshdeep Singh']","['Ajinkya Rahane', 'Jos Buttler', 'Sanju Samson', 'Rahul Tripathi', 'Ashton Turner', 'Stuart Binny', 'Jofra Archer', 'Shreyas Gopal', 'Jaydev Unadkat', 'Dhawal Kulkarni', 'Ish Sodhi']",2.51178585625687,2.3137503165300246
Hyderabad,2019-04-17,2019,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Chennai Super Kings,bat,Sunrisers Hyderabad,,IJ Gould,UV Gandhe,"['Shane Watson', 'Faf Du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'Kedar Jadhav', 'Sam Billings', 'Ravindra Jadeja', 'Karn Sharma', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']","['David Warner', 'Jonny Bairstow', 'Kane Williamson', 'Vijay Shankar', 'Yusuf Pathan', 'Deepak Hooda', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Shahbaz Nadeem', 'Khaleel Ahmed', 'Sandeep Sharma']",2.673283465986162,3.123952731412289
