Field1_text,Text
Parthiv Patel (wk),Chennai Super Kings
Vidyut Sivaramakrishnan ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Ms Dhoni (c),Chennai Super Kings
Chamara Kapugedera ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Makhaya Ntini ,Chennai Super Kings
Parthiv Patel (wk),Chennai Super Kings
Vidyut Sivaramakrishnan ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c),Chennai Super Kings
Chamara Kapugedera ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Makhaya Ntini ,Chennai Super Kings
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Shikhar Dhawan ,Delhi Daredevils
Manoj Tiwary ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Mf Maharoof ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Yo Mahesh ,Delhi Daredevils
Mohammad Asif ,Delhi Daredevils
Glenn Mcgrath ,Delhi Daredevils
Shaun Marsh ,Punjab Kings
James Hopes ,Punjab Kings
Yuvraj Singh (c),Punjab Kings
Luke Pomersbach ,Punjab Kings
Kumar Sangakkara (wk),Punjab Kings
Ramesh Powar ,Punjab Kings
Piyush Chawla ,Punjab Kings
Irfan Pathan ,Punjab Kings
Vikram Singh ,Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Wilkin Mota ,Punjab Kings
Mark Boucher ,Royal Challengers Bangalore
Shreevats Goswami (wk),Royal Challengers Bangalore
Misbah-ul-haq ,Royal Challengers Bangalore
Rahul Dravid (c),Royal Challengers Bangalore
Cameron White ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Anil Kumble ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Scott Styris ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Dwaraka Ravi Teja ,Deccan Chargers
Shahid Afridi ,Deccan Chargers
Arjun Yadav ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Pm Sarvesh Kumar ,Deccan Chargers
Paidikalva Vijaykumar ,Deccan Chargers
Kamran Akmal (wk),Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Niraj Patel ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Pankaj Singh ,Rajasthan Royals
Salman Butt ,Kolkata Knight Riders
Sourav Ganguly (c),Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Aakash Chopra ,Kolkata Knight Riders
Umar Gul ,Kolkata Knight Riders
Ishant Sharma ,Kolkata Knight Riders
Ajantha Mendis ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Lpc Silva ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Dwaraka Ravi Teja ,Deccan Chargers
Sanjay Bangar ,Deccan Chargers
Chaminda Vaas ,Deccan Chargers
Rp Singh ,Deccan Chargers
Paidikalva Vijaykumar ,Deccan Chargers
Arjun Yadav ,Deccan Chargers
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Shikhar Dhawan ,Delhi Daredevils
Manoj Tiwary ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Mf Maharoof ,Delhi Daredevils
Brett Geeves ,Delhi Daredevils
Yo Mahesh ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Glenn Mcgrath ,Delhi Daredevils
Parthiv Patel (wk),Chennai Super Kings
Stephen Fleming ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Ms Dhoni (c),Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Abhinav Mukund ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Makhaya Ntini ,Chennai Super Kings
Shaun Marsh ,Punjab Kings
Kumar Sangakkara (wk),Punjab Kings
Yuvraj Singh (c),Punjab Kings
Luke Pomersbach ,Punjab Kings
Mahela Jayawardene ,Punjab Kings
Piyush Chawla ,Punjab Kings
Tanmay Srivastava ,Punjab Kings
Ramesh Powar ,Punjab Kings
Gajendra Singh ,Punjab Kings
Vikram Singh ,Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Parthiv Patel (wk),Chennai Super Kings
Stephen Fleming ,Chennai Super Kings
Ms Dhoni (c),Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Vidyut Sivaramakrishnan ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Makhaya Ntini ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Dwayne Smith ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Robin Uthappa ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Pinal Shah (wk),Mumbai Indians
Siddharth Chitnis ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Vikrant Yeligati ,Mumbai Indians
Salman Butt ,Kolkata Knight Riders
Mohammad Hafeez ,Kolkata Knight Riders
Sourav Ganguly (c),Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Ajit Agarkar ,Kolkata Knight Riders
Umar Gul ,Kolkata Knight Riders
Ishant Sharma ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Jacques Kallis ,Royal Challengers Bangalore
Bharat Chipli ,Royal Challengers Bangalore
Shreevats Goswami (wk),Royal Challengers Bangalore
Rahul Dravid (c),Royal Challengers Bangalore
Misbah-ul-haq ,Royal Challengers Bangalore
Cameron White ,Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Anil Kumble ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Adam Gilchrist (c)(wk),Deccan Chargers
Shahid Afridi ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Lpc Silva ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Dwaraka Ravi Teja ,Deccan Chargers
Nuwan Zoysa ,Deccan Chargers
Halhadar Das ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Paidikalva Vijaykumar ,Deccan Chargers
Salman Butt ,Kolkata Knight Riders
Mohammad Hafeez ,Kolkata Knight Riders
Sourav Ganguly (c),Kolkata Knight Riders
Debabrata Das ,Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Ajit Agarkar ,Kolkata Knight Riders
Ishant Sharma ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Shoaib Akhtar ,Kolkata Knight Riders
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Shikhar Dhawan ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Mf Maharoof ,Delhi Daredevils
Shoaib Malik ,Delhi Daredevils
Pradeep Sangwan ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Rajat Bhatia ,Delhi Daredevils
Glenn Mcgrath ,Delhi Daredevils
Graeme Smith ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Mahesh Rawat (wk),Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Robin Uthappa ,Mumbai Indians
Dominic Thornely ,Mumbai Indians
Dwayne Bravo ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Rajesh Pawar ,Mumbai Indians
Yogesh Takawale Duplicate (wk),Mumbai Indians
Rohan Raje ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Shikhar Dhawan ,Delhi Daredevils
Mf Maharoof ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Manoj Tiwary ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Rajat Bhatia ,Delhi Daredevils
Glenn Mcgrath ,Delhi Daredevils
Mohammad Asif ,Delhi Daredevils
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Robin Uthappa ,Mumbai Indians
Dominic Thornely ,Mumbai Indians
Dwayne Bravo ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Yogesh Takawale Duplicate (wk),Mumbai Indians
Rohan Raje ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Salman Butt ,Kolkata Knight Riders
Aakash Chopra ,Kolkata Knight Riders
Sourav Ganguly (c),Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Tatenda Taibu ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Ishant Sharma ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Shoaib Akhtar ,Kolkata Knight Riders
Shaun Marsh ,Punjab Kings
James Hopes ,Punjab Kings
Luke Pomersbach ,Punjab Kings
Yuvraj Singh (c),Punjab Kings
Mahela Jayawardene ,Punjab Kings
Irfan Pathan ,Punjab Kings
Tanmay Srivastava ,Punjab Kings
Piyush Chawla ,Punjab Kings
Uday Kaul (wk),Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Vikram Singh ,Punjab Kings
Yusuf Pathan ,Rajasthan Royals
Graeme Smith ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Dimitri Mascarenhas ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Niraj Patel ,Rajasthan Royals
Mahesh Rawat (wk),Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Dwaraka Ravi Teja ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Scott Styris ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Sanjay Bangar ,Deccan Chargers
Chaminda Vaas ,Deccan Chargers
Rp Singh ,Deccan Chargers
