Field1_text,Text
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Ben Cutting ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Bipul Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Barinder Sran ,Sunrisers Hyderabad
Mustafizur Rahman ,Sunrisers Hyderabad
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Ben Cutting ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Bipul Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Barinder Sran ,Sunrisers Hyderabad
Trent Boult ,Sunrisers Hyderabad
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Colin Munro ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Rajagopal Sathish ,Kolkata Knight Riders
Jason Holder ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Morne Morkel ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Kl Rahul (wk),Royal Challengers Bangalore
Shane Watson ,Royal Challengers Bangalore
Sachin Baby ,Royal Challengers Bangalore
Stuart Binny ,Royal Challengers Bangalore
Chris Jordan ,Royal Challengers Bangalore
Iqbal Abdulla ,Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Kl Rahul (wk),Royal Challengers Bangalore
Shane Watson ,Royal Challengers Bangalore
Sachin Baby ,Royal Challengers Bangalore
Stuart Binny ,Royal Challengers Bangalore
Chris Jordan ,Royal Challengers Bangalore
Iqbal Abdulla ,Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Shikhar Dhawan ,Sunrisers Hyderabad
David Warner (c),Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Kane Williamson ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Karn Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Barinder Sran ,Sunrisers Hyderabad
Mustafizur Rahman ,Sunrisers Hyderabad
Rohit Sharma (c),Mumbai Indians
Martin Guptill ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Jos Buttler (wk),Mumbai Indians
Hardik Pandya ,Mumbai Indians
Nitish Rana ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Vinay Kumar ,Mumbai Indians
Mitchell Mcclenaghan ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Murali Vijay (c),Punjab Kings
Hashim Amla ,Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
David Miller ,Punjab Kings
Gurkeerat Mann Singh ,Punjab Kings
Axar Patel ,Punjab Kings
Farhaan Behardien ,Punjab Kings
Rishi Dhawan ,Punjab Kings
Kyle Abbott ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Eoin Morgan ,Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Karn Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Barinder Sran ,Sunrisers Hyderabad
Mustafizur Rahman ,Sunrisers Hyderabad
Robin Uthappa (wk),Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Jason Holder ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Morne Morkel ,Kolkata Knight Riders
Ankit Rajpoot ,Kolkata Knight Riders
Murali Vijay ,Punjab Kings
Hashim Amla (c),Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
David Miller ,Punjab Kings
Farhaan Behardien ,Punjab Kings
Gurkeerat Mann Singh ,Punjab Kings
Kyle Abbott ,Punjab Kings
Axar Patel ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
Kc Cariappa ,Punjab Kings
Shreyas Iyer ,Delhi Daredevils
Quinton De Kock (wk),Delhi Daredevils
Karun Nair ,Delhi Daredevils
Sanju Samson ,Delhi Daredevils
Rishabh Pant ,Delhi Daredevils
Jp Duminy ,Delhi Daredevils
Chris Morris ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
