Field1_text,Text
Ajinkya Rahane ,Rising Pune Supergiant
Rahul Tripathi ,Rising Pune Supergiant
Steve Smith (c),Rising Pune Supergiant
Ms Dhoni (wk),Rising Pune Supergiant
Manoj Tiwary ,Rising Pune Supergiant
Dan Christian ,Rising Pune Supergiant
Washington Sundar ,Rising Pune Supergiant
Lockie Ferguson ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Shardul Thakur ,Rising Pune Supergiant
Jaydev Unadkat ,Rising Pune Supergiant
Parthiv Patel (wk),Mumbai Indians
Lendl Simmons ,Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Mitchell Johnson ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Kane Williamson ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Chris Jordan ,Sunrisers Hyderabad
Bipul Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Ambati Rayudu ,Mumbai Indians
Lendl Simmons ,Mumbai Indians
Parthiv Patel (wk),Mumbai Indians
Kieron Pollard ,Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Krunal Pandya ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Mitchell Mcclenaghan ,Mumbai Indians
Sanju Samson ,Delhi Daredevils
Karun Nair ,Delhi Daredevils
Rishabh Pant (wk),Delhi Daredevils
Shreyas Iyer ,Delhi Daredevils
Marlon Samuels ,Delhi Daredevils
Corey Anderson ,Delhi Daredevils
Pat Cummins ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Mohammad Shami ,Delhi Daredevils
Shahbaz Nadeem ,Delhi Daredevils
Zaheer Khan (c),Delhi Daredevils
Rahul Tripathi ,Rising Pune Supergiant
Ajinkya Rahane ,Rising Pune Supergiant
Steve Smith (c),Rising Pune Supergiant
Manoj Tiwary ,Rising Pune Supergiant
Ms Dhoni (wk),Rising Pune Supergiant
Ben Stokes ,Rising Pune Supergiant
Dan Christian ,Rising Pune Supergiant
Washington Sundar ,Rising Pune Supergiant
Shardul Thakur ,Rising Pune Supergiant
Jaydev Unadkat ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Chris Lynn ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Colin De Grandhomme ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Umesh Yadav ,Kolkata Knight Riders
Ankit Rajpoot ,Kolkata Knight Riders
Trent Boult ,Kolkata Knight Riders
Dwayne Smith ,Gujarat Lions
Ishan Kishan ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Aaron Finch ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
James Faulkner ,Gujarat Lions
Praveen Kumar ,Gujarat Lions
Pradeep Sangwan ,Gujarat Lions
Munaf Patel ,Gujarat Lions
Ankit Soni ,Gujarat Lions
Sanju Samson ,Delhi Daredevils
Karun Nair ,Delhi Daredevils
Rishabh Pant (wk),Delhi Daredevils
Shreyas Iyer ,Delhi Daredevils
Corey Anderson ,Delhi Daredevils
Marlon Samuels ,Delhi Daredevils
Pat Cummins ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Shahbaz Nadeem ,Delhi Daredevils
Mohammad Shami ,Delhi Daredevils
Zaheer Khan (c),Delhi Daredevils
Parthiv Patel (wk),Mumbai Indians
Lendl Simmons ,Mumbai Indians
Nitish Rana ,Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Hardik Pandya ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Mitchell Mcclenaghan ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Dwayne Smith ,Gujarat Lions
Ishan Kishan ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Aaron Finch ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
James Faulkner ,Gujarat Lions
Pradeep Sangwan ,Gujarat Lions
Basil Thampi ,Gujarat Lions
Ankit Soni ,Gujarat Lions
Manan Vohra ,Punjab Kings
Martin Guptill ,Punjab Kings
Shaun Marsh ,Punjab Kings
Glenn Maxwell (c),Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
Axar Patel ,Punjab Kings
Rahul Tewatia ,Punjab Kings
Matt Henry ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
Swapnil Singh ,Punjab Kings
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Mohammed Siraj ,Sunrisers Hyderabad
Hashim Amla ,Punjab Kings
Martin Guptill ,Punjab Kings
Shaun Marsh ,Punjab Kings
Glenn Maxwell (c),Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
Gurkeerat Mann Singh ,Punjab Kings
Axar Patel ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
Varun Aaron ,Punjab Kings
T Natarajan ,Punjab Kings
Virat Kohli (c),Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
