Field1_text,Text
Lendl Simmons ,Mumbai Indians
Parthiv Patel (wk),Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Mitchell Johnson ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Sunil Narine ,Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Ishank Jaggi ,Kolkata Knight Riders
Colin De Grandhomme ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Nathan Coulter-nile ,Kolkata Knight Riders
Umesh Yadav ,Kolkata Knight Riders
Ankit Rajpoot ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Ishank Jaggi ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Umesh Yadav ,Kolkata Knight Riders
Nathan Coulter-nile ,Kolkata Knight Riders
Trent Boult ,Kolkata Knight Riders
Ajinkya Rahane ,Rising Pune Supergiant
Rahul Tripathi ,Rising Pune Supergiant
Steve Smith (c),Rising Pune Supergiant
Ms Dhoni (wk),Rising Pune Supergiant
Manoj Tiwary ,Rising Pune Supergiant
Dan Christian ,Rising Pune Supergiant
Washington Sundar ,Rising Pune Supergiant
Lockie Ferguson ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Shardul Thakur ,Rising Pune Supergiant
Jaydev Unadkat ,Rising Pune Supergiant
Virat Kohli (c),Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Vishnu Vinod (wk),Royal Challengers Bangalore
Travis Head ,Royal Challengers Bangalore
Kedar Jadhav ,Royal Challengers Bangalore
Sachin Baby ,Royal Challengers Bangalore
Shane Watson ,Royal Challengers Bangalore
Pawan Negi ,Royal Challengers Bangalore
Harshal Patel ,Royal Challengers Bangalore
Avesh Khan ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Martin Guptill ,Punjab Kings
Eoin Morgan ,Punjab Kings
Shaun Marsh ,Punjab Kings
Glenn Maxwell (c),Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
Axar Patel ,Punjab Kings
Rahul Tewatia ,Punjab Kings
Swapnil Singh ,Punjab Kings
Ishant Sharma ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
Lendl Simmons ,Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Ambati Rayudu (wk),Mumbai Indians
Kieron Pollard ,Mumbai Indians
Saurabh Tiwary ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Vinay Kumar ,Mumbai Indians
Tim Southee ,Mumbai Indians
Mitchell Johnson ,Mumbai Indians
David Warner (c),Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Mohammed Siraj ,Sunrisers Hyderabad
Ajinkya Rahane ,Rising Pune Supergiant
Rahul Tripathi ,Rising Pune Supergiant
Steve Smith (c),Rising Pune Supergiant
Ms Dhoni (wk),Rising Pune Supergiant
Manoj Tiwary ,Rising Pune Supergiant
Ben Stokes ,Rising Pune Supergiant
Dan Christian ,Rising Pune Supergiant
Washington Sundar ,Rising Pune Supergiant
Shardul Thakur ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Jaydev Unadkat ,Rising Pune Supergiant
Manan Vohra ,Punjab Kings
Martin Guptill ,Punjab Kings
Shaun Marsh ,Punjab Kings
Glenn Maxwell (c),Punjab Kings
Wriddhiman Saha (wk),Punjab Kings
Axar Patel ,Punjab Kings
Rahul Tewatia ,Punjab Kings
Matt Henry ,Punjab Kings
Ishant Sharma ,Punjab Kings
Sandeep Sharma ,Punjab Kings
Mohit Sharma ,Punjab Kings
Sanju Samson ,Delhi Daredevils
Karun Nair ,Delhi Daredevils
Shreyas Iyer ,Delhi Daredevils
Rishabh Pant (wk),Delhi Daredevils
Corey Anderson ,Delhi Daredevils
Marlon Samuels ,Delhi Daredevils
Carlos Brathwaite ,Delhi Daredevils
Pat Cummins ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Mohammad Shami ,Delhi Daredevils
Zaheer Khan (c),Delhi Daredevils
Chris Lynn ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Colin De Grandhomme ,Kolkata Knight Riders
Chris Woakes ,Kolkata Knight Riders
Umesh Yadav ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Ankit Rajpoot ,Kolkata Knight Riders
Parthiv Patel (wk),Mumbai Indians
Lendl Simmons ,Mumbai Indians
Nitish Rana ,Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Kieron Pollard ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Karn Sharma ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Mitchell Mcclenaghan ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Dwayne Smith ,Gujarat Lions
Ishan Kishan ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Aaron Finch ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
James Faulkner ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
Pradeep Sangwan ,Gujarat Lions
Basil Thampi ,Gujarat Lions
Ankit Soni ,Gujarat Lions
Gautam Gambhir (c),Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Sheldon Jackson (wk),Kolkata Knight Riders
