Field1_text,Text
Faf Du Plessis ,Chennai Super Kings
Shane Watson ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Harbhajan Singh ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Prithvi Shaw ,Delhi Capitals
Shikhar Dhawan ,Delhi Capitals
Shreyas Iyer (c),Delhi Capitals
Rishabh Pant (wk),Delhi Capitals
Colin Munro ,Delhi Capitals
Sherfane Rutherford ,Delhi Capitals
Axar Patel ,Delhi Capitals
Keemo Paul ,Delhi Capitals
Amit Mishra ,Delhi Capitals
Ishant Sharma ,Delhi Capitals
Trent Boult ,Delhi Capitals
Wriddhiman Saha (wk),Sunrisers Hyderabad
Martin Guptill ,Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Khaleel Ahmed ,Sunrisers Hyderabad
Basil Thampi ,Sunrisers Hyderabad
Faf Du Plessis ,Chennai Super Kings
Shane Watson ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Murali Vijay ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Harbhajan Singh ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Shubman Gill ,Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Dinesh Karthik (c)(wk),Kolkata Knight Riders
Andre Russell ,Kolkata Knight Riders
Robin Uthappa ,Kolkata Knight Riders
Rinku Singh ,Kolkata Knight Riders
Prasidh Krishna ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Sandeep Warrier ,Kolkata Knight Riders
Harry Gurney ,Kolkata Knight Riders
Faf Du Plessis ,Chennai Super Kings
Shane Watson ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Kedar Jadhav ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Harbhajan Singh ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Martin Guptill ,Sunrisers Hyderabad
Wriddhiman Saha (wk),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Yusuf Pathan ,Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Khaleel Ahmed ,Sunrisers Hyderabad
Basil Thampi ,Sunrisers Hyderabad
Ajinkya Rahane (c),Rajasthan Royals
Liam Livingstone ,Rajasthan Royals
Sanju Samson (wk),Rajasthan Royals
Mahipal Lomror ,Rajasthan Royals
Riyan Parag ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Krishnappa Gowtham ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Ish Sodhi ,Rajasthan Royals
Varun Aaron ,Rajasthan Royals
Oshane Thomas ,Rajasthan Royals
Shubman Gill ,Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Dinesh Karthik (c)(wk),Kolkata Knight Riders
Andre Russell ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Robin Uthappa ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Rinku Singh ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Sandeep Warrier ,Kolkata Knight Riders
Harry Gurney ,Kolkata Knight Riders
Martin Guptill ,Sunrisers Hyderabad
Wriddhiman Saha (wk),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Mohammad Nabi ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Abhishek Sharma ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Khaleel Ahmed ,Sunrisers Hyderabad
Basil Thampi ,Sunrisers Hyderabad
Prithvi Shaw ,Delhi Capitals
Shikhar Dhawan ,Delhi Capitals
Shreyas Iyer (c),Delhi Capitals
Rishabh Pant (wk),Delhi Capitals
Colin Ingram ,Delhi Capitals
Sherfane Rutherford ,Delhi Capitals
Axar Patel ,Delhi Capitals
Chris Morris ,Delhi Capitals
Amit Mishra ,Delhi Capitals
Jagadeesha Suchith ,Delhi Capitals
Trent Boult ,Delhi Capitals
Ajinkya Rahane ,Rajasthan Royals
Liam Livingstone ,Rajasthan Royals
Sanju Samson (wk),Rajasthan Royals
Steve Smith (c),Rajasthan Royals
Riyan Parag ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Mahipal Lomror ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Varun Aaron ,Rajasthan Royals
Oshane Thomas ,Rajasthan Royals
Kl Rahul ,Punjab Kings
Chris Gayle ,Punjab Kings
Mayank Agarwal ,Punjab Kings
David Miller ,Punjab Kings
Nicholas Pooran ,Punjab Kings
Prabhsimran Singh (wk),Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Mujeeb Ur Rahman ,Punjab Kings
Mohammad Shami ,Punjab Kings
Murugan Ashwin ,Punjab Kings
Arshdeep Singh ,Punjab Kings
Rohit Sharma (c),Mumbai Indians
Quinton De Kock (wk),Mumbai Indians
Evin Lewis ,Mumbai Indians
Suryakumar Yadav ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Rahul Chahar ,Mumbai Indians
Barinder Sran ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Parthiv Patel (wk),Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Marcus Stoinis ,Royal Challengers Bangalore
Heinrich Klaasen ,Royal Challengers Bangalore
Gurkeerat Mann Singh ,Royal Challengers Bangalore
Shivam Dube ,Royal Challengers Bangalore
Washington Sundar ,Royal Challengers Bangalore
Umesh Yadav ,Royal Challengers Bangalore
Navdeep Saini ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
David Warner ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Shakib Al Hasan ,Sunrisers Hyderabad
Wriddhiman Saha (wk),Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Khaleel Ahmed ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Quinton De Kock (wk),Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Evin Lewis ,Mumbai Indians
Suryakumar Yadav ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Anukul Roy ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Rahul Chahar ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Ajinkya Rahane ,Rajasthan Royals
Sanju Samson (wk),Rajasthan Royals
Steve Smith (c),Rajasthan Royals
Ben Stokes ,Rajasthan Royals
Riyan Parag ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Varun Aaron ,Rajasthan Royals
Oshane Thomas ,Rajasthan Royals
Kl Rahul ,Punjab Kings
Chris Gayle ,Punjab Kings
Mayank Agarwal ,Punjab Kings
David Miller ,Punjab Kings
Nicholas Pooran (wk),Punjab Kings
Mandeep Singh ,Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Hardus Viljoen ,Punjab Kings
Mohammad Shami ,Punjab Kings
Murugan Ashwin ,Punjab Kings
Ankit Rajpoot ,Punjab Kings
David Warner ,Sunrisers Hyderabad
Jonny Bairstow (wk),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Shakib Al Hasan ,Sunrisers Hyderabad
Vijay Shankar ,Sunrisers Hyderabad
Yusuf Pathan ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar (c),Sunrisers Hyderabad
Khaleel Ahmed ,Sunrisers Hyderabad
Sandeep Sharma ,Sunrisers Hyderabad
Prithvi Shaw ,Delhi Capitals
Shikhar Dhawan ,Delhi Capitals
Shreyas Iyer (c),Delhi Capitals
Rishabh Pant (wk),Delhi Capitals
Colin Ingram ,Delhi Capitals
Sherfane Rutherford ,Delhi Capitals
Chris Morris ,Delhi Capitals
Axar Patel ,Delhi Capitals
Amit Mishra ,Delhi Capitals
Kagiso Rabada ,Delhi Capitals
Ishant Sharma ,Delhi Capitals
Shane Watson ,Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Kedar Jadhav ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Chris Lynn ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Rinku Singh ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Shubman Gill ,Kolkata Knight Riders
Dinesh Karthik (c)(wk),Kolkata Knight Riders
Andre Russell ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Kc Cariappa ,Kolkata Knight Riders
Harry Gurney ,Kolkata Knight Riders
Prithvi Raj Yarra ,Kolkata Knight Riders
Kl Rahul (wk),Punjab Kings
Chris Gayle ,Punjab Kings
Mayank Agarwal ,Punjab Kings
David Miller ,Punjab Kings
Mandeep Singh ,Punjab Kings
Sam Curran ,Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Harpreet Brar ,Punjab Kings
Hardus Viljoen ,Punjab Kings
Murugan Ashwin ,Punjab Kings
Mohammad Shami ,Punjab Kings
Quinton De Kock (wk),Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Suryakumar Yadav ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Ben Cutting ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Mayank Markande ,Mumbai Indians
Rahul Chahar ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Parthiv Patel (wk),Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Moeen Ali ,Royal Challengers Bangalore
Heinrich Klaasen ,Royal Challengers Bangalore
Marcus Stoinis ,Royal Challengers Bangalore
Akshdeep Nath ,Royal Challengers Bangalore
Pawan Negi ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Navdeep Saini ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Rohit Sharma (c),Mumbai Indians
Quinton De Kock (wk),Mumbai Indians
Suryakumar Yadav ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Ben Cutting ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Krunal Pandya ,Mumbai Indians
Jayant Yadav ,Mumbai Indians
Rahul Chahar ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Shane Watson ,Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Suresh Raina (c),Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Kedar Jadhav ,Chennai Super Kings
Sam Billings (wk),Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Karn Sharma ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Ajinkya Rahane (c),Rajasthan Royals
Jos Buttler ,Rajasthan Royals
Sanju Samson (wk),Rajasthan Royals
Rahul Tripathi ,Rajasthan Royals
Ashton Turner ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Dhawal Kulkarni ,Rajasthan Royals
Ish Sodhi ,Rajasthan Royals
Parthiv Patel (wk),Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Marcus Stoinis ,Royal Challengers Bangalore
Moeen Ali ,Royal Challengers Bangalore
Akshdeep Nath ,Royal Challengers Bangalore
Pawan Negi ,Royal Challengers Bangalore
Umesh Yadav ,Royal Challengers Bangalore
Navdeep Saini ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Prithvi Shaw ,Delhi Capitals
Shikhar Dhawan ,Delhi Capitals
Shreyas Iyer (c),Delhi Capitals
Rishabh Pant (wk),Delhi Capitals
Colin Munro ,Delhi Capitals
Chris Morris ,Delhi Capitals
Axar Patel ,Delhi Capitals
Keemo Paul ,Delhi Capitals
Amit Mishra ,Delhi Capitals
Kagiso Rabada ,Delhi Capitals
Ishant Sharma ,Delhi Capitals
Shane Watson ,Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Kedar Jadhav ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Mitchell Santner ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Parthiv Patel (wk),Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Marcus Stoinis ,Royal Challengers Bangalore
Moeen Ali ,Royal Challengers Bangalore
Akshdeep Nath ,Royal Challengers Bangalore
Pawan Negi ,Royal Challengers Bangalore
Umesh Yadav ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Navdeep Saini ,Royal Challengers Bangalore
Ajinkya Rahane (c),Rajasthan Royals
Jos Buttler ,Rajasthan Royals
Steve Smith ,Rajasthan Royals
Sanju Samson (wk),Rajasthan Royals
Rahul Tripathi ,Rajasthan Royals
Liam Livingstone ,Rajasthan Royals
Krishnappa Gowtham ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Dhawal Kulkarni ,Rajasthan Royals
Prithvi Shaw ,Delhi Capitals
Shikhar Dhawan ,Delhi Capitals
Shreyas Iyer (c),Delhi Capitals
Rishabh Pant (wk),Delhi Capitals
Colin Ingram ,Delhi Capitals
Chris Morris ,Delhi Capitals
Axar Patel ,Delhi Capitals
Keemo Paul ,Delhi Capitals
Rahul Tewatia ,Delhi Capitals
Kagiso Rabada ,Delhi Capitals
Ishant Sharma ,Delhi Capitals
Shane Watson ,Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Kedar Jadhav ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Mitchell Santner ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Imran Tahir ,Chennai Super Kings
Kl Rahul (wk),Punjab Kings
Chris Gayle ,Punjab Kings
Karun Nair ,Punjab Kings
Sarfaraz Khan ,Punjab Kings
David Miller ,Punjab Kings
Mandeep Singh ,Punjab Kings
Sam Curran ,Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Hardus Viljoen ,Punjab Kings
Ankit Rajpoot ,Punjab Kings
Mohammad Shami ,Punjab Kings
Chris Lynn ,Kolkata Knight Riders
