Field1_text,Text
Michael Hussey ,Chennai Super Kings
Murali Vijay ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Wriddhiman Saha ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Doug Bollinger ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Mayank Agarwal ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Luke Pomersbach ,Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Daniel Vettori (c),Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Abhimanyu Mithun ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Syed Mohammad ,Royal Challengers Bangalore
Gautam Gambhir (c),Kolkata Knight Riders
Jacques Kallis ,Kolkata Knight Riders
Shreevats Goswami (wk),Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Ryan Ten Doeschate ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Brett Lee ,Kolkata Knight Riders
Lakshmipathy Balaji ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Mayank Agarwal ,Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Ab De Villiers (wk),Royal Challengers Bangalore
Luke Pomersbach ,Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Mohammad Kaif ,Royal Challengers Bangalore
Daniel Vettori (c),Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Abhimanyu Mithun ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Jacques Kallis ,Kolkata Knight Riders
Shreevats Goswami (wk),Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Ryan Ten Doeschate ,Kolkata Knight Riders
Rajat Bhatia ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Brett Lee ,Kolkata Knight Riders
Lakshmipathy Balaji ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Ab De Villiers (wk),Royal Challengers Bangalore
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Saurabh Tiwary ,Royal Challengers Bangalore
Mayank Agarwal ,Royal Challengers Bangalore
Mohammad Kaif ,Royal Challengers Bangalore
Luke Pomersbach ,Royal Challengers Bangalore
Daniel Vettori (c),Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Abhimanyu Mithun ,Royal Challengers Bangalore
Zaheer Khan ,Royal Challengers Bangalore
Naman Ojha (wk),Delhi Daredevils
David Warner ,Delhi Daredevils
Matthew Wade ,Delhi Daredevils
Colin Ingram ,Delhi Daredevils
Venugopal Rao ,Delhi Daredevils
James Hopes (c),Delhi Daredevils
Irfan Pathan ,Delhi Daredevils
Yogesh Nagar ,Delhi Daredevils
Varun Aaron ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Ashok Dinda ,Delhi Daredevils
Paul Valthaty ,Punjab Kings
Adam Gilchrist (c)(wk),Punjab Kings
Shaun Marsh ,Punjab Kings
Dinesh Karthik ,Punjab Kings
Ryan Mclaren ,Punjab Kings
Abhishek Nayar ,Punjab Kings
Mandeep Singh ,Punjab Kings
Piyush Chawla ,Punjab Kings
Ryan Harris ,Punjab Kings
Praveen Kumar ,Punjab Kings
Bhargav Bhatt ,Punjab Kings
Tirumalasetti Suman ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Ambati Rayudu (wk),Mumbai Indians
Rohit Sharma ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
James Franklin ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Andrew Symonds ,Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Munaf Patel ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Jesse Ryder ,Pune Warriors India
Manish Pandey ,Pune Warriors India
Callum Ferguson ,Pune Warriors India
Sourav Ganguly ,Pune Warriors India
Robin Uthappa (wk),Pune Warriors India
Yuvraj Singh (c),Pune Warriors India
Sachin Rana ,Pune Warriors India
Wayne Parnell ,Pune Warriors India
Alfonso Thomas ,Pune Warriors India
Rahul Sharma ,Pune Warriors India
Bhuvneshwar Kumar ,Pune Warriors India
Paul Valthaty ,Punjab Kings
Adam Gilchrist (c)(wk),Punjab Kings
Shaun Marsh ,Punjab Kings
David Hussey ,Punjab Kings
Dinesh Karthik ,Punjab Kings
Mandeep Singh ,Punjab Kings
Abhishek Nayar ,Punjab Kings
Shalabh Srivastava ,Punjab Kings
Piyush Chawla ,Punjab Kings
Praveen Kumar ,Punjab Kings
Ryan Harris ,Punjab Kings
Jesse Ryder ,Pune Warriors India
Manish Pandey ,Pune Warriors India
Sourav Ganguly ,Pune Warriors India
Robin Uthappa (wk),Pune Warriors India
Yuvraj Singh (c),Pune Warriors India
Mithun Manhas ,Pune Warriors India
Callum Ferguson ,Pune Warriors India
Mitchell Marsh ,Pune Warriors India
Wayne Parnell ,Pune Warriors India
Bhuvneshwar Kumar ,Pune Warriors India
Rahul Sharma ,Pune Warriors India
Brendon Mccullum ,Kochi Tuskers Kerala
