Field1_text,Text
Murali Vijay ,Chennai Super Kings
Matthew Hayden ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Srikkanth Anirudha ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Doug Bollinger ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Jacques Kallis ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Kevin Pietersen ,Royal Challengers Bangalore
Robin Uthappa (wk),Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Cameron White ,Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Nayan Doshi ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Murali Vijay ,Chennai Super Kings
Matthew Hayden ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Srikkanth Anirudha ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Doug Bollinger ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Jacques Kallis ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Kevin Pietersen ,Royal Challengers Bangalore
Robin Uthappa (wk),Royal Challengers Bangalore
Ross Taylor ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Manish Pandey ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Sourav Ganguly (c),Kolkata Knight Riders
Brendon Mccullum ,Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Angelo Mathews ,Kolkata Knight Riders
Cheteshwar Pujara ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Jaydev Unadkat ,Kolkata Knight Riders
Murali Kartik ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Shane Bond ,Kolkata Knight Riders
David Warner ,Delhi Daredevils
Virender Sehwag ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Gautam Gambhir (c),Delhi Daredevils
Mithun Manhas ,Delhi Daredevils
Paul Collingwood ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Ashish Nehra ,Delhi Daredevils
Dirk Nannes ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Mahela Jayawardene ,Punjab Kings
Shaun Marsh ,Punjab Kings
Kumar Sangakkara (c)(wk),Punjab Kings
Yuvraj Singh ,Punjab Kings
Irfan Pathan ,Punjab Kings
Karan Goel ,Punjab Kings
Juan Theron ,Punjab Kings
Ramesh Powar ,Punjab Kings
Piyush Chawla ,Punjab Kings
Sunny Sohal ,Punjab Kings
Vikram Singh ,Punjab Kings
Sourav Ganguly (c),Kolkata Knight Riders
Brendon Mccullum (wk),Kolkata Knight Riders
Chris Gayle ,Kolkata Knight Riders
Cheteshwar Pujara ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
Angelo Mathews ,Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Jaydev Unadkat ,Kolkata Knight Riders
Murali Kartik ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
Shane Bond ,Kolkata Knight Riders
Manish Pandey ,Royal Challengers Bangalore
Jacques Kallis ,Royal Challengers Bangalore
Kevin Pietersen ,Royal Challengers Bangalore
