Field1_text,Text
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Azhar Bilakhia ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Harmeet Singh Bansal ,Deccan Chargers
Rp Singh ,Deccan Chargers
Parthiv Patel ,Chennai Super Kings
Matthew Hayden ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Jacob Oram ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Azhar Bilakhia ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Harmeet Singh Bansal ,Deccan Chargers
Rp Singh ,Deccan Chargers
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Azhar Bilakhia ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Jaskaran Singh ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Jp Duminy ,Mumbai Indians
Mohammad Ashraful ,Mumbai Indians
Ajinkya Rahane ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Pinal Shah (wk),Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Rahil Shaikh ,Mumbai Indians
Sunny Sohal ,Punjab Kings
Simon Katich ,Punjab Kings
Luke Pomersbach ,Punjab Kings
Yuvraj Singh (c),Punjab Kings
Kumar Sangakkara (wk),Punjab Kings
Wilkin Mota ,Punjab Kings
Irfan Pathan ,Punjab Kings
Brett Lee ,Punjab Kings
Piyush Chawla ,Punjab Kings
Ramesh Powar ,Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Naman Ojha (wk),Rajasthan Royals
Rob Quiney ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Niraj Patel ,Rajasthan Royals
Johan Botha ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Tyron Henderson ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Amit Singh ,Rajasthan Royals
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Mithun Manhas ,Delhi Daredevils
Ab De Villiers ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Andrew Mcdonald ,Delhi Daredevils
Yogesh Nagar ,Delhi Daredevils
