Field1_text,Text
Shikhar Dhawan ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Ambati Rayudu (wk),Mumbai Indians
Saurabh Tiwary ,Mumbai Indians
Jp Duminy ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Zaheer Khan ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Adam Gilchrist (c)(wk),Deccan Chargers
Mohnish Mishra ,Deccan Chargers
Anirudh Singh ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Dwayne Smith ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Rahul Sharma ,Deccan Chargers
Harmeet Singh Bansal ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Mohnish Mishra ,Deccan Chargers
Bodapati Sumanth ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Harmeet Singh Bansal ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Shikhar Dhawan ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Ambati Rayudu (wk),Mumbai Indians
Jp Duminy ,Mumbai Indians
Saurabh Tiwary ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Zaheer Khan ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Lasith Malinga ,Mumbai Indians
Aditya Tare (wk),Mumbai Indians
Shikhar Dhawan ,Mumbai Indians
Saurabh Tiwary ,Mumbai Indians
Jp Duminy ,Mumbai Indians
Rajagopal Sathish ,Mumbai Indians
Dwayne Bravo (c),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Stuart Binny ,Mumbai Indians
Ryan Mclaren ,Mumbai Indians
Ali Murtaza ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Adam Gilchrist (c)(wk),Deccan Chargers
Mohnish Mishra ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Mitchell Marsh ,Deccan Chargers
Bodapati Sumanth ,Deccan Chargers
Chaminda Vaas ,Deccan Chargers
Rahul Sharma ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Harmeet Singh Bansal ,Deccan Chargers
Murali Vijay ,Chennai Super Kings
Matthew Hayden ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Jm Kemp ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Shadab Jakati ,Chennai Super Kings
Doug Bollinger ,Chennai Super Kings
Sudeep Tyagi ,Chennai Super Kings
Shane Watson ,Rajasthan Royals
Naman Ojha (wk),Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Aaron Finch ,Rajasthan Royals
Adam Voges ,Rajasthan Royals
Abhishek Raut ,Rajasthan Royals
Paras Dogra ,Rajasthan Royals
Faiz Fazal ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Kamran Khan ,Rajasthan Royals
Ryan Mclaren ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Ambati Rayudu ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Jp Duminy ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Saurabh Tiwary ,Mumbai Indians
Aditya Tare (wk),Mumbai Indians
Harbhajan Singh ,Mumbai Indians
Zaheer Khan ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Adam Gilchrist (c)(wk),Deccan Chargers
Mohnish Mishra ,Deccan Chargers
Tirumalasetti Suman ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Andrew Symonds ,Deccan Chargers
Mitchell Marsh ,Deccan Chargers
Bodapati Sumanth ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Ryan Harris ,Deccan Chargers
Rahul Sharma ,Deccan Chargers
Virender Sehwag ,Delhi Daredevils
David Warner ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Gautam Gambhir (c),Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Mithun Manhas ,Delhi Daredevils
Paul Collingwood ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Ashish Nehra ,Delhi Daredevils
Dirk Nannes ,Delhi Daredevils
Umesh Yadav ,Delhi Daredevils
Manish Pandey ,Royal Challengers Bangalore
Jacques Kallis ,Royal Challengers Bangalore
Kevin Pietersen ,Royal Challengers Bangalore
Robin Uthappa (wk),Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Ross Taylor ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Pankaj Singh ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Sourav Ganguly (c),Kolkata Knight Riders
Chris Gayle ,Kolkata Knight Riders
Brendon Mccullum ,Kolkata Knight Riders
Manoj Tiwary ,Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
Angelo Mathews ,Kolkata Knight Riders
Wriddhiman Saha (wk),Kolkata Knight Riders
Laxmi Ratan Shukla ,Kolkata Knight Riders
Ajit Agarkar ,Kolkata Knight Riders
Iqbal Abdulla ,Kolkata Knight Riders
Ashok Dinda ,Kolkata Knight Riders
David Warner ,Delhi Daredevils
Virender Sehwag ,Delhi Daredevils
Gautam Gambhir (c),Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Ab De Villiers ,Delhi Daredevils
Paul Collingwood ,Delhi Daredevils
Andrew Mcdonald ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Pradeep Sangwan ,Delhi Daredevils
Ashish Nehra ,Delhi Daredevils
Sarabjit Ladda ,Delhi Daredevils
