Field1_text,Text
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Kl Rahul (wk),Royal Challengers Bangalore
Shane Watson ,Royal Challengers Bangalore
Sachin Baby ,Royal Challengers Bangalore
Stuart Binny ,Royal Challengers Bangalore
Chris Jordan ,Royal Challengers Bangalore
Iqbal Abdulla ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Aaron Finch ,Gujarat Lions
Brendon Mccullum ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Dwayne Smith ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
Dwayne Bravo ,Gujarat Lions
Eklavya Dwivedi  ,Gujarat Lions
Praveen Kumar ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
Shivil Kaushik ,Gujarat Lions
Shikhar Dhawan ,Sunrisers Hyderabad
David Warner (c),Sunrisers Hyderabad
Moises Henriques ,Sunrisers Hyderabad
Yuvraj Singh ,Sunrisers Hyderabad
Naman Ojha (wk),Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Ben Cutting ,Sunrisers Hyderabad
Bipul Sharma ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Barinder Sran ,Sunrisers Hyderabad
Mustafizur Rahman ,Sunrisers Hyderabad
Aaron Finch ,Gujarat Lions
Brendon Mccullum ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Dwayne Smith ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
Dwayne Bravo ,Gujarat Lions
Eklavya Dwivedi  ,Gujarat Lions
Shadab Jakati ,Gujarat Lions
Praveen Kumar ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
Quinton De Kock (wk),Delhi Daredevils
Rishabh Pant ,Delhi Daredevils
Karun Nair ,Delhi Daredevils
Sam Billings ,Delhi Daredevils
Carlos Brathwaite ,Delhi Daredevils
Sanju Samson ,Delhi Daredevils
Pawan Negi ,Delhi Daredevils
Chris Morris ,Delhi Daredevils
Jayant Yadav ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Zaheer Khan (c),Delhi Daredevils
Robin Uthappa (wk),Kolkata Knight Riders
Gautam Gambhir (c),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Colin Munro ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Jason Holder ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Ankit Rajpoot ,Kolkata Knight Riders
Dwayne Smith ,Gujarat Lions
Brendon Mccullum ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Aaron Finch ,Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
Dwayne Bravo ,Gujarat Lions
Eklavya Dwivedi  ,Gujarat Lions
Praveen Kumar ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
Shadab Jakati ,Gujarat Lions
Ajinkya Rahane ,Rising Pune Supergiant
Usman Khawaja ,Rising Pune Supergiant
George Bailey ,Rising Pune Supergiant
Saurabh Tiwary ,Rising Pune Supergiant
Ms Dhoni (c)(wk),Rising Pune Supergiant
Thisara Perera ,Rising Pune Supergiant
Irfan Pathan ,Rising Pune Supergiant
Ravichandran Ashwin ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Ashok Dinda ,Rising Pune Supergiant
Deepak Chahar ,Rising Pune Supergiant
Quinton De Kock (wk),Delhi Daredevils
Sanju Samson ,Delhi Daredevils
Karun Nair ,Delhi Daredevils
Rishabh Pant ,Delhi Daredevils
Jp Duminy ,Delhi Daredevils
Pawan Negi ,Delhi Daredevils
Carlos Brathwaite ,Delhi Daredevils
Jayant Yadav ,Delhi Daredevils
Nathan Coulter-nile ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Zaheer Khan (c),Delhi Daredevils
Dwayne Smith ,Gujarat Lions
Brendon Mccullum ,Gujarat Lions
Suresh Raina (c),Gujarat Lions
Aaron Finch ,Gujarat Lions
Dinesh Karthik (wk),Gujarat Lions
Ravindra Jadeja ,Gujarat Lions
Dwayne Bravo ,Gujarat Lions
Eklavya Dwivedi  ,Gujarat Lions
Praveen Kumar ,Gujarat Lions
Dhawal Kulkarni ,Gujarat Lions
Shadab Jakati ,Gujarat Lions
Chris Gayle ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Shane Watson ,Royal Challengers Bangalore
Kl Rahul (wk),Royal Challengers Bangalore
Sachin Baby ,Royal Challengers Bangalore
Stuart Binny ,Royal Challengers Bangalore
Chris Jordan ,Royal Challengers Bangalore
Sreenath Aravind ,Royal Challengers Bangalore
Varun Aaron ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Ajinkya Rahane ,Rising Pune Supergiant
Usman Khawaja ,Rising Pune Supergiant
George Bailey ,Rising Pune Supergiant
Saurabh Tiwary ,Rising Pune Supergiant
Ms Dhoni (c)(wk),Rising Pune Supergiant
Thisara Perera ,Rising Pune Supergiant
Irfan Pathan ,Rising Pune Supergiant
Ravichandran Ashwin ,Rising Pune Supergiant
Adam Zampa ,Rising Pune Supergiant
Deepak Chahar ,Rising Pune Supergiant
Ashok Dinda ,Rising Pune Supergiant
Gautam Gambhir (c),Kolkata Knight Riders
Robin Uthappa (wk),Kolkata Knight Riders
Manish Pandey ,Kolkata Knight Riders
Suryakumar Yadav ,Kolkata Knight Riders
Shakib Al Hasan ,Kolkata Knight Riders
Yusuf Pathan ,Kolkata Knight Riders
