Field1_text,Text
Shikhar Dhawan ,Sunrisers Hyderabad
Shreevats Goswami (wk),Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Shakib Al Hasan ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Yusuf Pathan ,Sunrisers Hyderabad
Carlos Brathwaite ,Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Sandeep Sharma ,Sunrisers Hyderabad
Chris Lynn ,Kolkata Knight Riders
Sunil Narine ,Kolkata Knight Riders
Robin Uthappa ,Kolkata Knight Riders
Dinesh Karthik (c)(wk),Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Shubman Gill ,Kolkata Knight Riders
Andre Russell ,Kolkata Knight Riders
Shivam Mavi ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Prasidh Krishna ,Kolkata Knight Riders
Rahul Tripathi ,Rajasthan Royals
Ajinkya Rahane (c),Rajasthan Royals
Sanju Samson ,Rajasthan Royals
Heinrich Klaasen (wk),Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Krishnappa Gowtham ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Ish Sodhi ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Ben Laughlin ,Rajasthan Royals
Shane Watson ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Faf Du Plessis ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Harbhajan Singh ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Lungi Ngidi ,Chennai Super Kings
Kl Rahul (wk),Punjab Kings
Chris Gayle ,Punjab Kings
Aaron Finch ,Punjab Kings
David Miller ,Punjab Kings
Karun Nair ,Punjab Kings
Manoj Tiwary ,Punjab Kings
Axar Patel ,Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Andrew Tye ,Punjab Kings
Mohit Sharma ,Punjab Kings
Ankit Rajpoot ,Punjab Kings
Suryakumar Yadav ,Mumbai Indians
Evin Lewis ,Mumbai Indians
Ishan Kishan (wk),Mumbai Indians
Rohit Sharma (c),Mumbai Indians
Krunal Pandya ,Mumbai Indians
Kieron Pollard ,Mumbai Indians
Hardik Pandya ,Mumbai Indians
Ben Cutting ,Mumbai Indians
Mustafizur Rahman ,Mumbai Indians
Mayank Markande ,Mumbai Indians
Jasprit Bumrah ,Mumbai Indians
Sunil Narine ,Kolkata Knight Riders
Chris Lynn ,Kolkata Knight Riders
Robin Uthappa ,Kolkata Knight Riders
Nitish Rana ,Kolkata Knight Riders
Dinesh Karthik (c)(wk),Kolkata Knight Riders
Andre Russell ,Kolkata Knight Riders
Shubman Gill ,Kolkata Knight Riders
Piyush Chawla ,Kolkata Knight Riders
Javon Searles ,Kolkata Knight Riders
Kuldeep Yadav ,Kolkata Knight Riders
Prasidh Krishna ,Kolkata Knight Riders
Parthiv Patel (wk),Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Moeen Ali ,Royal Challengers Bangalore
Mandeep Singh ,Royal Challengers Bangalore
Colin De Grandhomme ,Royal Challengers Bangalore
Sarfaraz Khan ,Royal Challengers Bangalore
Umesh Yadav ,Royal Challengers Bangalore
Tim Southee ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Shane Watson ,Chennai Super Kings
Ambati Rayudu ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Sam Billings ,Chennai Super Kings
Ravindra Jadeja ,Chennai Super Kings
Dwayne Bravo ,Chennai Super Kings
Harbhajan Singh ,Chennai Super Kings
Deepak Chahar ,Chennai Super Kings
Shardul Thakur ,Chennai Super Kings
Lungi Ngidi ,Chennai Super Kings
Shikhar Dhawan ,Sunrisers Hyderabad
Alex Hales ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Shakib Al Hasan ,Sunrisers Hyderabad
Shreevats Goswami (wk),Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Basil Thampi ,Sunrisers Hyderabad
Siddarth Kaul ,Sunrisers Hyderabad
Sandeep Sharma ,Sunrisers Hyderabad
Kl Rahul (wk),Punjab Kings
Chris Gayle ,Punjab Kings
Aaron Finch ,Punjab Kings
Yuvraj Singh ,Punjab Kings
Manoj Tiwary ,Punjab Kings
Marcus Stoinis ,Punjab Kings
Axar Patel ,Punjab Kings
Ravichandran Ashwin (c),Punjab Kings
Mohit Sharma ,Punjab Kings
Andrew Tye ,Punjab Kings
Ankit Rajpoot ,Punjab Kings
Jos Buttler (wk),Rajasthan Royals
Ajinkya Rahane (c),Rajasthan Royals
Sanju Samson ,Rajasthan Royals
Ben Stokes ,Rajasthan Royals
Rahul Tripathi ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Krishnappa Gowtham ,Rajasthan Royals
Ish Sodhi ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Anureet Singh ,Rajasthan Royals
Parthiv Patel (wk),Royal Challengers Bangalore
Moeen Ali ,Royal Challengers Bangalore
Virat Kohli (c),Royal Challengers Bangalore
Ab De Villiers ,Royal Challengers Bangalore
Mandeep Singh ,Royal Challengers Bangalore
Sarfaraz Khan ,Royal Challengers Bangalore
Colin De Grandhomme ,Royal Challengers Bangalore
Umesh Yadav ,Royal Challengers Bangalore
Tim Southee ,Royal Challengers Bangalore
Mohammed Siraj ,Royal Challengers Bangalore
Yuzvendra Chahal ,Royal Challengers Bangalore
Jos Buttler (wk),Rajasthan Royals
Ajinkya Rahane (c),Rajasthan Royals
Sanju Samson ,Rajasthan Royals
Ben Stokes ,Rajasthan Royals
Stuart Binny ,Rajasthan Royals
Jofra Archer ,Rajasthan Royals
Krishnappa Gowtham ,Rajasthan Royals
Shreyas Gopal ,Rajasthan Royals
Jaydev Unadkat ,Rajasthan Royals
Dhawal Kulkarni ,Rajasthan Royals
Alex Hales ,Sunrisers Hyderabad
Shikhar Dhawan ,Sunrisers Hyderabad
Kane Williamson (c),Sunrisers Hyderabad
Manish Pandey ,Sunrisers Hyderabad
Shakib Al Hasan ,Sunrisers Hyderabad
Deepak Hooda ,Sunrisers Hyderabad
Shreevats Goswami (wk),Sunrisers Hyderabad
Rashid Khan ,Sunrisers Hyderabad
Bhuvneshwar Kumar ,Sunrisers Hyderabad
