Field1_text,Text
Niraj Patel ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Kamran Akmal (wk),Rajasthan Royals
Shane Watson ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Shaun Marsh ,Punjab Kings
James Hopes ,Punjab Kings
Kumar Sangakkara (wk),Punjab Kings
Yuvraj Singh (c),Punjab Kings
Mahela Jayawardene ,Punjab Kings
Irfan Pathan ,Punjab Kings
Wilkin Mota ,Punjab Kings
Piyush Chawla ,Punjab Kings
Ramesh Powar ,Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Vikram Singh ,Punjab Kings
Graeme Smith ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Mahesh Rawat (wk),Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Niraj Patel ,Rajasthan Royals
Younis Khan ,Rajasthan Royals
Shane Watson (c),Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Kamran Akmal (wk),Rajasthan Royals
Mahesh Rawat ,Rajasthan Royals
Dinesh Salunkhe ,Rajasthan Royals
Pankaj Singh ,Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Robin Uthappa ,Mumbai Indians
Dwayne Smith ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Manish Pandey ,Mumbai Indians
Yogesh Takawale Duplicate (wk),Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Parthiv Patel (wk),Chennai Super Kings
Stephen Fleming ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Ms Dhoni (c),Chennai Super Kings
Albie Morkel ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Abhinav Mukund ,Chennai Super Kings
Makhaya Ntini ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Robin Uthappa ,Mumbai Indians
Dwayne Smith ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Manish Pandey ,Mumbai Indians
Yogesh Takawale Duplicate (wk),Mumbai Indians
Rohan Raje ,Mumbai Indians
Dilhara Fernando ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Shaun Marsh ,Punjab Kings
James Hopes ,Punjab Kings
Kumar Sangakkara (wk),Punjab Kings
Yuvraj Singh (c),Punjab Kings
Mahela Jayawardene ,Punjab Kings
Irfan Pathan ,Punjab Kings
Piyush Chawla ,Punjab Kings
Tanmay Srivastava ,Punjab Kings
Ramesh Powar ,Punjab Kings
Vikram Singh ,Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Jacques Kallis ,Royal Challengers Bangalore
Wasim Jaffer ,Royal Challengers Bangalore
Misbah-ul-haq ,Royal Challengers Bangalore
Rahul Dravid (c),Royal Challengers Bangalore
Cameron White ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Shreevats Goswami (wk),Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Anil Kumble ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Dwayne Smith ,Mumbai Indians
Robin Uthappa ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Shaun Pollock ,Mumbai Indians
Siddharth Chitnis ,Mumbai Indians
Pinal Shah (wk),Mumbai Indians
Andre Nel ,Mumbai Indians
Dhawal Kulkarni ,Mumbai Indians
Ashish Nehra ,Mumbai Indians
Graeme Smith ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Kamran Akmal (wk),Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Taruwar Kohli ,Rajasthan Royals
Dinesh Salunkhe ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Pankaj Singh ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Adam Gilchrist (c)(wk),Deccan Chargers
Herschelle Gibbs ,Deccan Chargers
Rohit Sharma ,Deccan Chargers
Venugopal Rao ,Deccan Chargers
Lpc Silva ,Deccan Chargers
Scott Styris ,Deccan Chargers
Dwaraka Ravi Teja ,Deccan Chargers
Sanjay Bangar ,Deccan Chargers
Rp Singh ,Deccan Chargers
Pragyan Ojha ,Deccan Chargers
Paidikalva Vijaykumar ,Deccan Chargers
Jacques Kallis ,Royal Challengers Bangalore
Shreevats Goswami ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Rahul Dravid (c),Royal Challengers Bangalore
Misbah-ul-haq ,Royal Challengers Bangalore
Mark Boucher (wk),Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Anil Kumble ,Royal Challengers Bangalore
Dale Steyn ,Royal Challengers Bangalore
Shaun Marsh ,Punjab Kings
James Hopes ,Punjab Kings
Luke Pomersbach ,Punjab Kings
Yuvraj Singh (c),Punjab Kings
Mahela Jayawardene ,Punjab Kings
Irfan Pathan ,Punjab Kings
Tanmay Srivastava ,Punjab Kings
Piyush Chawla ,Punjab Kings
Uday Kaul (wk),Punjab Kings
Shanthakumaran Sreesanth ,Punjab Kings
Vikram Singh ,Punjab Kings
Graeme Smith ,Rajasthan Royals
Swapnil Asnodkar ,Rajasthan Royals
Sohail Tanvir ,Rajasthan Royals
Mohammad Kaif ,Rajasthan Royals
Shane Watson ,Rajasthan Royals
Yusuf Pathan ,Rajasthan Royals
Ravindra Jadeja ,Rajasthan Royals
Shane Warne (c),Rajasthan Royals
Mahesh Rawat (wk),Rajasthan Royals
Siddharth Trivedi ,Rajasthan Royals
Munaf Patel ,Rajasthan Royals
Gautam Gambhir ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Ab De Villiers ,Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Shikhar Dhawan ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Mf Maharoof ,Delhi Daredevils
Rajat Bhatia ,Delhi Daredevils
Yo Mahesh ,Delhi Daredevils
Pradeep Sangwan ,Delhi Daredevils
Glenn Mcgrath ,Delhi Daredevils
Sanath Jayasuriya ,Mumbai Indians
Sachin Tendulkar (c),Mumbai Indians
Dominic Thornely ,Mumbai Indians
Abhishek Nayar ,Mumbai Indians
Robin Uthappa ,Mumbai Indians
Dwayne Bravo ,Mumbai Indians
Pinal Shah ,Mumbai Indians
Yogesh Takawale Duplicate (wk),Mumbai Indians
