Field1_text,Text
Jacques Kallis ,Royal Challengers Bangalore
Manish Pandey ,Royal Challengers Bangalore
Roelof Van Der Merwe ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Ross Taylor ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Mark Boucher (wk),Royal Challengers Bangalore
Robin Uthappa ,Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Jacques Kallis ,Royal Challengers Bangalore
Manish Pandey ,Royal Challengers Bangalore
Roelof Van Der Merwe ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Ross Taylor ,Royal Challengers Bangalore
Robin Uthappa ,Royal Challengers Bangalore
Mark Boucher (wk),Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Vinay Kumar ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Gautam Gambhir ,Delhi Daredevils
David Warner ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Ab De Villiers ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Rajat Bhatia ,Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Pradeep Sangwan ,Delhi Daredevils
Dirk Nannes ,Delhi Daredevils
Ashish Nehra ,Delhi Daredevils
Jacques Kallis ,Royal Challengers Bangalore
Manish Pandey ,Royal Challengers Bangalore
Roelof Van Der Merwe ,Royal Challengers Bangalore
Rahul Dravid ,Royal Challengers Bangalore
Ross Taylor ,Royal Challengers Bangalore
Virat Kohli ,Royal Challengers Bangalore
Robin Uthappa ,Royal Challengers Bangalore
Mark Boucher (wk),Royal Challengers Bangalore
Praveen Kumar ,Royal Challengers Bangalore
Balachandra Akhil ,Royal Challengers Bangalore
Anil Kumble (c),Royal Challengers Bangalore
Gautam Gambhir ,Delhi Daredevils
David Warner ,Delhi Daredevils
Virender Sehwag (c),Delhi Daredevils
Tillakaratne Dilshan ,Delhi Daredevils
Rajat Bhatia ,Delhi Daredevils
Ab De Villiers ,Delhi Daredevils
Dinesh Karthik (wk),Delhi Daredevils
Amit Mishra ,Delhi Daredevils
Aavishkar Salvi ,Delhi Daredevils
Dirk Nannes ,Delhi Daredevils
Pradeep Sangwan ,Delhi Daredevils
George Bailey ,Chennai Super Kings
Parthiv Patel ,Chennai Super Kings
Suresh Raina ,Chennai Super Kings
Subramaniam Badrinath ,Chennai Super Kings
Ms Dhoni (c)(wk),Chennai Super Kings
Jacob Oram ,Chennai Super Kings
Manpreet Gony ,Chennai Super Kings
Ravichandran Ashwin ,Chennai Super Kings
Thilan Thushara ,Chennai Super Kings
Lakshmipathy Balaji ,Chennai Super Kings
Muttiah Muralitharan ,Chennai Super Kings
Brendon Mccullum (c),Kolkata Knight Riders
Sourav Ganguly ,Kolkata Knight Riders
Brad Hodge ,Kolkata Knight Riders
Yashpal Singh ,Kolkata Knight Riders
David Hussey ,Kolkata Knight Riders
